t: __fat_readdir, record_end round = 666
[589642.363860] myfat: fat_clear_inode
[589642.363862] myfat: fat_destroy_inode
[589642.363863] myfat: fat_clear_inode
[589642.363864] myfat: fat_destroy_inode
[589642.363866] myfat: fat_clear_inode
[589642.363867] myfat: fat_destroy_inode
[589642.363868] myfat: fat_put_super
[589642.363870] myfat: fat_clear_inode
[589642.363871] myfat: fat_destroy_inode
[589642.383428] myfat: exit_msdos_fs
[750240.778544] usb 1-1: new full speed USB device using uhci_hcd and address 11
[750241.658317] usb 1-1: New USB device found, idVendor=0424, idProduct=2228
[750241.658321] usb 1-1: New USB device strings: Mfr=1, Product=2, SerialNumber=3
[750241.658324] usb 1-1: Product: Flash Card Reader
[750241.658326] usb 1-1: Manufacturer: Generic
[750241.658327] usb 1-1: SerialNumber: 000022272228
[750241.659249] usb 1-1: configuration #1 chosen from 1 choice
[750241.661897] scsi10 : SCSI emulation for USB Mass Storage devices
[750241.662202] usb-storage: device found at 11
[750241.662204] usb-storage: waiting for device to settle before scanning
[750246.700493] usb-storage: device scan complete
[750246.706013] scsi 10:0:0:0: Direct-Access     Generic  Flash HS-CF      5.14 PQ: 0 ANSI: 0
[750246.710160] scsi 10:0:0:1: Direct-Access     Generic  Flash HS-COMBO   5.14 PQ: 0 ANSI: 0
[750246.711823] sd 10:0:0:0: Attached scsi generic sg2 type 0
[750246.713158] sd 10:0:0:1: Attached scsi generic sg3 type 0
[750247.176530] sd 10:0:0:1: [sdc] 3854336 512-byte logical blocks: (1.97 GB/1.83 GiB)
[750247.181400] sd 10:0:0:0: [sdb] Attached SCSI removable disk
[750247.191360] sd 10:0:0:1: [sdc] Write Protect is off
[750247.191364] sd 10:0:0:1: [sdc] Mode Sense: 23 00 00 00
[750247.191366] sd 10:0:0:1: [sdc] Assuming drive cache: write through
[750247.226891] sd 10:0:0:1: [sdc] Assuming drive cache: write through
[750247.226896]  sdc: sdc1 sdc2
[750247.248912] sd 10:0:0:1: [sdc] Assuming drive cache: write through
[750247.248917] sd 10:0:0:1: [sdc] Attached SCSI removable disk
[750248.500332] FAT: utf8 is not a recommended IO charset for FAT filesystems, filesystem will be case sensitive!
[750248.690439] kjournald starting.  Commit interval 5 seconds
[750249.002564] EXT3 FS on sdc2, internal journal
[750249.002571] EXT3-fs: mounted filesystem with ordered data mode.
[780493.788999] usb 1-1: USB disconnect, address 11
[841885.437628] usb 1-1: new full speed USB device using uhci_hcd and address 12
[841886.141187] usb 1-1: New USB device found, idVendor=0424, idProduct=2228
[841886.141191] usb 1-1: New USB device strings: Mfr=1, Product=2, SerialNumber=3
[841886.141193] usb 1-1: Product: Flash Card Reader
[841886.141195] usb 1-1: Manufacturer: Generic
[841886.141197] usb 1-1: SerialNumber: 000022272228
[841886.142886] usb 1-1: configuration #1 chosen from 1 choice
[841886.145461] scsi11 : SCSI emulation for USB Mass Storage devices
[841886.145630] usb-storage: device found at 12
[841886.145631] usb-storage: waiting for device to settle before scanning
[841891.184495] usb-storage: device scan complete
[841891.190464] scsi 11:0:0:0: Direct-Access     Generic  Flash HS-CF      5.14 PQ: 0 ANSI: 0
[841891.195431] scsi 11:0:0:1: Direct-Access     Generic  Flash HS-COMBO   5.14 PQ: 0 ANSI: 0
[841891.196567] sd 11:0:0:0: Attached scsi generic sg2 type 0
[841891.197314] sd 11:0:0:1: Attached scsi generic sg3 type 0
[841891.659435] sd 11:0:0:1: [sdc] 3854336 512-byte logical blocks: (1.97 GB/1.83 GiB)
[841891.664798] sd 11:0:0:0: [sdb] Attached SCSI removable disk
[841891.675336] sd 11:0:0:1: [sdc] Write Protect is off
[841891.675340] sd 11:0:0:1: [sdc] Mode Sense: 23 00 00 00
[841891.675342] sd 11:0:0:1: [sdc] Assuming drive cache: write through
[841891.711085] sd 11:0:0:1: [sdc] Assuming drive cache: write through
[841891.711199]  sdc: sdc1 sdc2
[841891.733286] sd 11:0:0:1: [sdc] Assuming drive cache: write through
[841891.733290] sd 11:0:0:1: [sdc] Attached SCSI removable disk
[841892.793275] FAT: utf8 is not a recommended IO charset for FAT filesystems, filesystem will be case sensitive!
[841893.634573] kjournald starting.  Commit interval 5 seconds
[841893.954511] EXT3 FS on sdc2, internal journal
[841893.954556] EXT3-fs: recovery complete.
[841893.989378] EXT3-fs: mounted filesystem with ordered data mode.
